time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-27 00:00:00+00:00,43,12,6,6
2026-08-28 00:00:00+00:00,30,9,3,1
2026-08-29 00:00:00+00:00,30,14,3,3
2026-08-30 00:00:00+00:00,8,8,0,0
2026-08-31 00:00:00+00:00,17,5,1,1
2026-09-01 00:00:00+00:00,3,3,0,0
2026-09-02 00:00:00+00:00,46,10,1,1
2026-09-03 00:00:00+00:00,7,7,0,0
2026-09-04 00:00:00+00:00,15,4,3,1
2026-09-05 00:00:00+00:00,25,6,4,1
2026-09-06 00:00:00+00:00,3,3,1,1
2026-09-07 00:00:00+00:00,32,8,3,1
2026-09-08 00:00:00+00:00,6,6,16,5
2026-09-09 00:00:00+00:00,20,5,5,2
