time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-21 00:00:00+00:00,68,25,0,0
2026-04-22 00:00:00+00:00,112,34,3,2
2026-04-23 00:00:00+00:00,108,36,0,0
2026-04-24 00:00:00+00:00,156,54,2,2
2026-04-25 00:00:00+00:00,49,28,0,0
2026-04-26 00:00:00+00:00,29,11,5,1
2026-04-27 00:00:00+00:00,399,58,12,12
2026-04-28 00:00:00+00:00,262,53,7,1
2026-04-29 00:00:00+00:00,42,12,0,0
2026-04-30 00:00:00+00:00,27,10,1,1
2026-05-01 00:00:00+00:00,190,28,0,0
2026-05-02 00:00:00+00:00,45,15,0,0
2026-05-03 00:00:00+00:00,49,15,3,1
2026-05-04 00:00:00+00:00,29,11,1,1
