time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-12 00:00:00+00:00,59,6,42.0,2.0
2024-07-13 00:00:00+00:00,146,13,138.0,4.0
2024-07-14 00:00:00+00:00,22,9,3.0,1.0
2024-07-15 00:00:00+00:00,7,2,,
2024-07-16 00:00:00+00:00,1,1,,
2024-07-17 00:00:00+00:00,2,1,2.0,1.0
2024-07-18 00:00:00+00:00,2,1,2.0,1.0
2024-07-20 00:00:00+00:00,5,3,,
2024-07-21 00:00:00+00:00,2,1,,
2024-07-22 00:00:00+00:00,6,3,11.0,1.0
2024-07-24 00:00:00+00:00,2,1,,
2024-07-25 00:00:00+00:00,3,1,21.0,1.0
