time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-13 00:00:00+00:00,127,25,16,2
2026-02-14 00:00:00+00:00,22,8,3,1
2026-02-15 00:00:00+00:00,17,9,0,0
2026-02-16 00:00:00+00:00,18,7,0,0
2026-02-17 00:00:00+00:00,14,6,0,0
2026-02-18 00:00:00+00:00,18,9,2,2
2026-02-19 00:00:00+00:00,10,6,3,1
2026-02-20 00:00:00+00:00,61,11,6,1
2026-02-21 00:00:00+00:00,246,33,68,1
2026-02-22 00:00:00+00:00,33,14,0,0
2026-02-23 00:00:00+00:00,71,10,1,1
2026-02-24 00:00:00+00:00,5,5,10,2
2026-02-25 00:00:00+00:00,10,6,0,0
2026-02-26 00:00:00+00:00,23,18,0,0
